sp_code,species,genus,family,order,clade
ACSA3C,saccharum,Acer,Sapindaceae,Sapindales,Angiosperm
ACNE2,negundo,Acer,Sapindaceae,Sapindales,Angiosperm
ACRU,rubrum,Acer,Sapindaceae,Sapindales,Angiosperm
AEFL,flava,Aesculus,Sapindaceae,Sapindales,Angiosperm
ALJU,julibrissin,Albizia,Fabaceae,Fabales,Angiosperm
CACA18,caroliniana,Carpinus,Betulaceae,Fagales,Angiosperm
CACA38,caroliniana-septentrionalis,Carpinus,Betulaceae,Fagales,Angiosperm
CACO15,cordiformis,Carya,Juglandaceae,Fagales,Angiosperm
CAGL8,glabra,Carya,Juglandaceae,Fagales,Angiosperm
CALA21,laciniosa,Carya,Juglandaceae,Fagales,Angiosperm
CAOV2,ovata,Carya,Juglandaceae,Fagales,Angiosperm
CAOV3,ovalis,Carya,Juglandaceae,Fagales,Angiosperm
CAPA24,pallida,Carya,Juglandaceae,Fagales,Angiosperm
CATO6,tomentosa,Carya,Juglandaceae,Fagales,Angiosperm
CARYA,sp,Carya,Juglandaceae,Fagales,Angiosperm
CELA,laevigata,Celtis,Cannabaceae,Rosales,Angiosperm
COOB2,obliqua,Cornus,Cornaceae,Cornales,Angiosperm
DIVI5,virginiana,Diospyros,Ebenaceae,Ericales,Angiosperm
FAGR,grandifolia,Fagus,Fagaceae,Fagales,Angiosperm
FRAMCO,americana,Fraxinus,Oleaceae,Lamiales,Angiosperm
FRQU,quadrangulata,Fraxinus,Oleaceae,Lamiales,Angiosperm
GLTR,triacanthos,Gleditsia,Fabaceae,Fabales,Angiosperm
JUNI,nigra,Juglans,Juglandaceae,Fagales,Angiosperm
JUVI,virginiana,Juniperus,Cupressaceae,Pinales,Gymnosperm
LIBE3,benzoin,Liquidambar,Altingiaceae,Saxifragales,Angiosperm
LIST2,styraciflua,Liquidambar,Altingiaceae,Saxifragales,Angiosperm
LITU,tulipifera,Liriodendron,Magnoliaceae,Magnoliales,Angiosperm
MAAC,acuminata,Magnolia,Magnoliaceae,Magnoliales,Angiosperm
NYSY,sylvatica,Nyssa,Nyssaceae,Cornales,Angiosperm
OSVI,virginiana,Ostrya,Betulaceae,Fagales,Angiosperm
OXAR,arboreum,Oxydendrum,Ericaceae,Ericales,Angiosperm
PATO2,tomentosa,Paulownia,Paulowniaceae,Lamiales,Angiosperm
PIEC2,echinata,Pinus,Pinaceae,Pinales,Gymnosperm
PIVI2,virginiana,Pinus,Pinaceae,Pinales,Gymnosperm
PLOC,occidentalis,Platanus,Platanaceae,Proteales,Angiosperm
PRSES,serotina,Prunus,Rosaceae,Rosales,Angiosperm
QUAL,alba,Quercus,Fagaceae,Fagales,Angiosperm
QUFA,falcata,Quercus,Fagaceae,Fagales,Angiosperm
QUMO4,montana,Quercus,Fagaceae,Fagales,Angiosperm
QUMU,muehlenbergii,Quercus,Fagaceae,Fagales,Angiosperm
QUNI,nigra,Quercus,Fagaceae,Fagales,Angiosperm
QUPA5,pagoda,Quercus,Fagaceae,Fagales,Angiosperm
QURU,rubra,Quercus,Fagaceae,Fagales,Angiosperm
QUSH,shumardii,Quercus,Fagaceae,Fagales,Angiosperm
QUVE,velutina,Quercus,Fagaceae,Fagales,Angiosperm
SAAL5,albidum,Sassafras,Lauraceae,Laurales,Angiosperm
TIAM,americana,Tilia,Malvaceae,Malvales,Angiosperm
ULAL,alata,Ulmus,Ulmaceae,Rosales,Angiosperm
ULAM,americana,Ulmus,Ulmaceae,Rosales,Angiosperm
ULRU,rubra,Ulmus,Ulmaceae,Rosales,Angiosperm
ULSE,serotina,Ulmus,Ulmaceae,Rosales,Angiosperm
