"","Name","spectral_entropy"
"1","0",1.55355660287858
"2","1",1.39125440590114
"3","10",1.45724602683847
"4","100",1.3642262839439
"5","1000",1.43814748957206
"6","1001",1.47365375922856
"7","1002",1.47432522508054
"8","1003",1.39920476290277
"9","1004",1.4641106785124
"10","1005",1.46993509633576
"11","1006",1.41208823725538
"12","1007",1.49991553673206
"13","1008",1.41461000034456
"14","101",1.39670927403923
"15","1011",1.38891620712698
"16","1012",1.46286531418902
"17","1015",1.6736300161672
"18","1016",1.66074913700146
"19","1017",1.56775545482981
"20","1018",1.76837161155018
"21","1019",1.48207887535657
"22","102",1.45186482300977
"23","1020",1.39473787818751
"24","1021",1.36054582155221
"25","1022",1.27922791683896
"26","1023",1.34001336131484
"27","1024",1.44349033909464
"28","103",1.46661041208651
"29","104",1.4288665631482
"30","105",1.57617350426359
"31","106",1.57800040212723
"32","107",1.4352475999106
"33","108",1.36790547657405
"34","109",1.35190591690584
"35","11",1.35117806219681
"36","110",1.69413161662484
"37","1100",1.4322325083595
"38","1101",1.40411453469052
"39","1102",1.34099741814575
"40","1103",1.48170670688241
"41","1104",1.46877681648209
"42","1105",1.49059102292406
"43","1106",1.39565227034205
"44","1107",1.45368266551578
"45","1108",1.59646445064895
"46","1109",1.49995808307918
"47","111",1.53590739448989
"48","1116",1.77139252606778
"49","1117",1.66185598173968
"50","1118",1.56929138443288
"51","112",1.49113861531815
"52","1121",1.41673433190302
"53","1122",1.33312632463812
"54","1123",1.39121033030353
"55","1124",1.30448191720169
"56","113",1.38586521188639
"57","114",1.51346498561945
"58","115",1.45633573534737
"59","116",1.30928526393661
"60","117",1.48555281648579
"61","118",1.36904387237239
"62","119",1.38650752103312
"63","12",1.33597233815662
"64","120",1.3732798835179
"65","1200",1.49736571318854
"66","1201",1.41372227030346
"67","1202",1.42804781603104
"68","1203",1.62323697489539
"69","1204",1.60523768099494
"70","1205",1.4430209378443
"71","1206",1.5967788632845
"72","1207",1.42358683123688
"73","1208",1.66718834499765
"74","1209",1.50881287400492
"75","121",1.31825449879726
"76","1210",1.47663622446388
"77","1217",1.9048965428348
"78","1218",1.74499143674481
"79","122",1.22791299882103
"80","1222",1.44164407744718
"81","1223",1.41694653207994
"82","1224",1.31231194019435
"83","123",1.44328152054013
"84","124",1.48617016523835
"85","13",1.38282039832094
"86","1300",1.48085099112854
"87","1301",1.46987224223583
"88","1302",1.52052409222339
"89","1303",1.422777948514
"90","1304",1.41184134522782
"91","1305",1.51337720863192
"92","1306",1.58572410056065
"93","1307",1.44055506535337
"94","1308",1.43142968052134
"95","1309",1.37648476721281
"96","1310",1.42719222182126
"97","1311",1.46670501119293
"98","1312",1.44131508960092
"99","1323",1.41914323612488
"100","1324",1.45150281256824
"101","14",1.49450521203135
"102","1400",1.49494213205029
"103","1401",1.59753597464802
"104","1402",1.52252635447079
"105","1403",1.41104597798232
"106","1404",1.50941810140418
"107","1405",1.53552191245207
"108","1406",1.61218458830265
"109","1407",1.52343796173675
"110","1408",1.43004542341808
"111","1409",1.45330407459748
"112","1410",1.322412733779
"113","1411",1.49070985791744
"114","1412",1.48360537415379
"115","1413",1.43729899791728
"116","1415",1.44726794177314
"117","1416",1.48234849851505
"118","1417",1.55571827301206
"119","15",1.50699135011995
"120","1500",1.49000774916603
"121","1501",1.47273494786451
"122","1502",1.41766659142094
"123","1503",1.44128953083451
"124","1504",1.52882960322263
"125","1505",1.55145966121225
"126","1506",1.52988730171351
"127","1507",1.47410137273649
"128","1508",1.570813982234
"129","1509",1.47364487881922
"130","1510",1.43243131930974
"131","1511",1.54506434930801
"132","1512",1.42217903759861
"133","1513",1.45685933735436
"134","1514",1.49651820799143
"135","1515",1.42126171636744
"136","1516",1.30483797898905
"137","1517",1.40917963663689
"138","1518",1.54504284285522
"139","16",1.52034580259963
"140","1600",1.48463571768288
"141","1601",1.46573515920711
"142","1602",1.41330497393304
"143","1603",1.38453414218448
"144","1604",1.50845047078945
"145","1605",1.55778121541061
"146","1606",1.52729588220893
"147","1607",1.45635426602727
"148","1608",1.4540531322146
"149","1609",1.3863122131266
"150","1610",1.39183988097237
"151","1611",1.47496625276036
"152","1612",1.49663756418087
"153","1613",1.42446403845185
"154","1614",1.50744618175142
"155","1615",1.51647315194652
"156","1616",1.45624862290556
"157","1617",1.37730533623996
"158","1618",1.42081165377155
"159","1619",1.38218275678953
"160","17",1.45394912628977
"161","1700",1.34054702945946
"162","1701",1.37257363705072
"163","1702",1.40329552214893
"164","1703",1.49093300309306
"165","1704",1.41243893558121
"166","1705",1.41351050206334
"167","1706",1.44828614772372
"168","1707",1.4706479861554
"169","1708",1.44657057621226
"170","1709",1.47473296219463
"171","1710",1.39060673556393
"172","1711",1.4763116991306
"173","1712",1.48467423275767
"174","1713",1.48785019718371
"175","1714",1.35157560271954
"176","1715",1.50204063660613
"177","1716",1.44043039893495
"178","1717",1.39633062415269
"179","1718",1.34568882066502
"180","1719",1.42265111185847
"181","1720",1.46019835557603
"182","18",1.42667136468407
"183","1800",1.36741727448351
"184","1801",1.39413940116373
"185","1802",1.40159579021697
"186","1803",1.49764853997454
"187","1804",1.39524587474005
"188","1805",1.46404855040016
"189","1806",1.39538458427255
"190","1807",1.51057641142876
"191","1808",1.43280522819402
"192","1809",1.46209600272638
"193","1810",1.40691165595326
"194","1811",1.57545213465131
"195","1812",1.57820029143726
"196","1813",1.51714126829209
"197","1814",1.301085358422
"198","1815",1.44079376547073
"199","1816",1.4894957065399
"200","1817",1.38304037485814
"201","1818",1.40583910266726
"202","1819",1.46313652317353
"203","1820",1.46167194490496
"204","1821",1.58410974512442
"205","19",1.47629313814088
"206","1900",1.36047716053816
"207","1901",1.4437320127479
"208","1902",1.40076791339464
"209","1903",1.50267954190814
"210","1904",1.50310677694001
"211","1905",1.54029456474493
"212","1906",1.42236047136741
"213","1907",1.49974939366849
"214","1908",1.45636797085211
"215","1909",1.36806658156034
"216","1910",1.4648038074275
"217","1911",1.41725891529418
"218","1912",1.50765552922917
"219","1913",1.46341324456347
"220","1914",1.38533219433419
"221","1915",1.45839807246816
"222","1916",1.47995238078087
"223","1917",1.51572248547775
"224","1918",1.42064665755707
"225","1919",1.46989585059895
"226","1920",1.44208925943716
"227","2",1.42656989500755
"228","20",1.35154556897364
"229","200",1.39105688670816
"230","201",1.49017750780729
"231","202",1.56714295865971
"232","203",1.50980487886752
"233","204",1.41292918243055
"234","205",1.53565991925065
"235","206",1.62212566390333
"236","207",1.49503590880786
"237","208",1.3801244498902
"238","209",1.29901169539001
"239","21",1.31143722005664
"240","210",1.37483593105049
"241","211",1.39284846354801
"242","212",1.44886130668925
"243","213",1.42484335996107
"244","214",1.33413603595013
"245","215",1.4678461896533
"246","216",1.4786815277405
"247","217",1.43996940680243
"248","218",1.24397393796826
"249","219",1.50375655105978
"250","22",1.37639295079522
"251","220",1.4670396277566
"252","221",1.3209588801458
"253","222",1.28283759113417
"254","223",1.27012149376203
"255","224",1.39798727619895
"256","23",1.4578655009325
"257","3",1.35756550127856
"258","300",1.42610946018872
"259","301",1.41148416689226
"260","302",1.46831827113716
"261","303",1.44321644707023
"262","304",1.3629657672192
"263","305",1.50905307217363
"264","306",1.63030210320276
"265","307",1.58264693892103
"266","308",1.45036066509774
"267","309",1.32620051923985
"268","310",1.33636377994557
"269","311",1.43953339424403
"270","312",1.51042982182733
"271","313",1.38732055929103
"272","314",1.30168077217955
"273","315",1.45987403827599
"274","316",1.50903549643456
"275","317",1.43716615364442
"276","318",1.42942750642822
"277","319",1.36177433414779
"278","320",1.4939177820412
"279","321",1.46184509054467
"280","322",1.34814725141225
"281","323",1.39210106459607
"282","324",1.31547076073828
"283","4",1.38206588367618
"284","400",1.48717859427043
"285","401",1.40164443427037
"286","402",1.43484818425729
"287","403",1.41555113570453
"288","404",1.34495855075725
"289","405",1.4443058562836
"290","406",1.55425428181741
"291","407",1.73628476396842
"292","408",1.51851209025033
"293","409",1.4580962859695
"294","410",1.32568192982262
"295","411",1.36451804987513
"296","412",1.47083186958164
"297","413",1.34948637348235
"298","414",1.34716247115456
"299","415",1.32572740639299
"300","416",1.41941958716298
"301","417",1.44195328190616
"302","418",1.47105270806508
"303","419",1.65805918805276
"304","420",1.35093601754709
"305","421",1.33303546709985
"306","422",1.44448020406865
"307","423",1.42173592199863
"308","424",1.4022973270958
"309","5",1.5772172099358
"310","500",1.41609277006271
"311","501",1.47932727579793
"312","502",1.36420174622264
"313","503",1.34436355006653
"314","504",1.3784847107832
"315","505",1.48851681618595
"316","506",1.51150664386093
"317","507",1.61917138292562
"318","508",1.63771432528371
"319","509",1.34222147925788
"320","510",1.40112694482231
"321","511",1.49023153974335
"322","512",1.44213909991748
"323","513",1.39875413267899
"324","514",1.4033695667057
"325","515",1.44197630350021
"326","516",1.39019891756192
"327","517",1.32327829737731
"328","518",1.31891743560444
"329","519",1.62877418339381
"330","520",1.45740336227471
"331","521",1.3289808190712
"332","522",1.28886521083935
"333","523",1.37382903593408
"334","524",1.49978847725108
"335","6",1.51878419787294
"336","600",1.41295693926577
"337","601",1.42677562183908
"338","602",1.41616633081045
"339","603",1.42603842451244
"340","604",1.4024356267554
"341","605",1.4581592571598
"342","606",1.44850762636078
"343","607",1.57383451579376
"344","608",1.39235466865653
"345","609",1.40085970325483
"346","610",1.41927046585117
"347","611",1.37810345976321
"348","612",1.52666332660985
"349","613",1.52622668777967
"350","614",1.45181183751693
"351","615",1.40000852575389
"352","616",1.41428516933008
"353","617",1.39123598014038
"354","618",1.33379327398416
"355","619",1.38768444638225
"356","620",1.49094462781792
"357","621",1.37144515224386
"358","622",1.3437324826957
"359","623",1.2626656148711
"360","624",1.31459710808474
"361","7",1.37260396905651
"362","700",1.56949861249096
"363","701",1.32765045923967
"364","702",1.30618855726107
"365","703",1.45457075768085
"366","704",1.52483142429796
"367","705",1.41522070424709
"368","706",1.52858539828867
"369","707",1.58669572203159
"370","708",1.51926049470687
"371","709",1.43915792431261
"372","710",1.31469089825641
"373","711",1.33002878971278
"374","712",1.9035886903291
"375","713",1.56342585209524
"376","714",1.725944974374
"377","715",1.5503984315254
"378","716",1.46235646473013
"379","717",1.51227635075204
"380","718",1.37070690726284
"381","719",1.26809657957675
"382","720",1.32802737658106
"383","721",1.44663074228586
"384","722",1.39924262177333
"385","723",1.32534505126497
"386","724",1.29696100828018
"387","8",1.42095687497662
"388","800",1.75992829960758
"389","801",1.74474401960281
"390","802",1.55204624668934
"391","803",1.54248933184989
"392","804",1.71162204668153
"393","805",1.48395297340423
"394","806",1.49078128709986
"395","807",1.43080263402907
"396","808",1.59445137536376
"397","809",1.48095191700362
"398","810",1.44858516382125
"399","811",1.5147315519069
"400","812",1.75231481824417
"401","813",1.48140368801241
"402","814",1.66718583467138
"403","815",1.6156878620951
"404","816",1.46503015996039
"405","817",1.6940908631803
"406","818",1.48446269464712
"407","819",1.36357633958191
"408","820",1.23735795267481
"409","821",1.40332133634668
"410","822",1.43186754640607
"411","823",1.31655297873576
"412","824",1.395132648991
"413","9",1.48041170174082
"414","900",1.69016941961752
"415","901",1.55980116975848
"416","902",1.46860514425969
"417","903",1.44354767877634
"418","904",1.51093246607109
"419","905",1.66238308779555
"420","906",1.48110348051019
"421","907",1.36079448272978
"422","910",1.4827250704107
"423","911",1.39479422460168
"424","912",1.54303379937669
"425","913",1.54407787696611
"426","914",1.6429744418785
"427","915",1.59827880263825
"428","916",1.53124486801349
"429","917",1.69788565808876
"430","918",1.76481268634635
"431","919",1.53480267619609
"432","920",1.43282451848159
"433","921",1.30091702785146
"434","922",1.44247885476705
"435","923",1.38954897771427
"436","924",1.46496331492136
