"sp","n_individuals"
"ACSA3C",437
"LITU",370
"FRAMCO",369
"LIST2",352
"QUAL",351
"CACA38",333
"FAGR",293
"QUMU",255
"AEFL",153
"CAOV2",150
"JUVI",119
"TIAM",117
"CAGL8",109
"CELA",99
"QUSH",95
"QURU",88
"CATO6",79
"DIVI5",76
"MAAC",75
"ACNE2",72
"PIEC2",58
"JUNI",55
"ULAL",48
"PRSES",41
"CACO15",38
"OXAR",28
"QUFA",27
"QUMO4",25
"QUVE",24
"ULAM",23
"ULSE",22
"QUPA5",17
"PLOC",16
"ULRU",15
"CALA21",14
"FRQU",13
"QUNI",13
"CACA18",11
"CAOV3",11
"OSVI",8
"SAAL5",5
"CARYA",3
"NYSY",3
"ACRU",2
"ALJU",1
"CAPA24",1
"COOB2",1
"GLTR",1
"LIBE3",1
"PATO2",1
"PIVI2",1
